ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Benzi,Sagart_ID
Bantawa-309_theearthsoil-1,33897,Bantawa,309_theearthsoil,bakʰa,bakʰa,b a kʰ a,,Jongens2009,,,^b a kʰ a$,default,,33897
Bantawa-309_theearthsoil-2,33898,Bantawa,309_theearthsoil,henkʰamma,henkʰamma,h e n kʰ a m m a,,Jongens2009,,,^h e n kʰ a mm a$,default,,33898
Bantawa-310_theearthworm-1,33899,Bantawa,310_theearthworm,walempacʰɨk,walempacʰɨk,w a l e m p a cʰ ɨ k,,Jongens2009,,,^w a l e m p a cʰ ɨ k$,default,,33899
Bantawa-311_theegg-1,33901,Bantawa,311_theegg,din,din,d i n,,Jongens2009,,,^d i n$,default,,33901
Bantawa-49_theeye-1,33904,Bantawa,49_theeye,mɨk,mɨk,m ɨ k,,Jongens2009,,,^m ɨ k$,default,,33904
Bantawa-313_thefather-1,33906,Bantawa,313_thefather,pa,pa,p a,,Jongens2009,,,^p a$,default,,33906
Bantawa-314_thefeather-1,33907,Bantawa,314_thefeather,mɨwa,mɨwa,m ɨ w a,,Jongens2009,,,^m ɨ w a$,default,,33907
Bantawa-54_thefire-1,33909,Bantawa,54_thefire,miri,miri,m i r i,,Jongens2009,,,^m i r i$,default,,33909
Bantawa-56_thefish-1,33911,Bantawa,56_thefish,ŋa,ŋa,ŋ a,,Jongens2009,,,^ŋ a$,default,,33911
Bantawa-315_theflea-1,33913,Bantawa,315_theflea,kippa,kippa,k i p p a,,Jongens2009,,,^k i pp a$,default,,33913
Bantawa-61_theflower-1,33915,Bantawa,61_theflower,buŋwa,buŋwa,b u ŋ w a,,Jongens2009,,,^b u ŋw a$,default,,33915
Bantawa-64_thefoot-1,33917,Bantawa,64_thefoot,laŋkubak,laŋkubak,l a ŋ k u b a k,,Jongens2009,,,^l a ŋ k u b a k$,default,,33917
Bantawa-65_theforest-1,33918,Bantawa,65_theforest,koŋkʰi,koŋkʰi,k o ŋ kʰ i,,Jongens2009,,,^k o ŋ kʰ i$,default,,33918
Bantawa-317_thefrog-1,33921,Bantawa,317_thefrog,bʰorop,bʰorop,bʱ o r o p,,Jongens2009,,,^bʰ o r o p$,default,,33921
Bantawa-317_thefrog-2,33922,Bantawa,317_thefrog,paŋtok,paŋtok,p a ŋ t o k,,Jongens2009,,,^p a ŋ t o k$,default,,33922
Bantawa-70_thefrontfrontside-1,33923,Bantawa,70_thefrontfrontside,bu,bu,b u,,Jongens2009,,,^b u$,default,,33923
Bantawa-319_thefruit-1,33924,Bantawa,319_thefruit,si,si,s i,,Jongens2009,,,^s i$,default,,33924
Bantawa-319_thefruit-2,33925,Bantawa,319_thefruit,sɨŋsiwa,sɨŋsiwa,s ɨ ŋ s i w a,,Jongens2009,,,^s ɨ ŋs i w a$,default,,33925
Bantawa-75_thegoat-1,33928,Bantawa,75_thegoat,cʰengara,cʰengara,cʰ e n g a r a,,Jongens2009,,,^cʰ e n g a r a$,default,,33928
Bantawa-77_thegrass-1,33930,Bantawa,77_thegrass,gʰãsa,gʰãsa,gʰ ã s a,,Jongens2009,,,^gʰ ã s a$,default,,33930
Bantawa-321_thehail-1,33931,Bantawa,321_thehail,naŋ,naŋ,n a ŋ,,Jongens2009,,,^n a ŋ$,default,,33931
Bantawa-80_thehairofthehead-1,33932,Bantawa,80_thehairofthehead,taŋmɨwa,taŋmɨwa,t a ŋ m ɨ w a,,Jongens2009,,,^t a ŋ m ɨ w a$,default,,33932
Bantawa-81_thehand-1,33933,Bantawa,81_thehand,cʰuk-ka,cʰuk-ka,cʰ u k + k a,,Jongens2009,,,^cʰ u k-k a$,default,,33933
Bantawa-84_thehead-1,33936,Bantawa,84_thehead,taŋ,taŋ,t a ŋ,,Jongens2009,,,^t a ŋ$,default,,33936
Bantawa-86_theheart-1,33938,Bantawa,86_theheart,cuwa,cuwa,c u w a,,Jongens2009,,,^c u w a$,default,,33938
Bantawa-323_thehoof-1,33945,Bantawa,323_thehoof,kʰura,kʰura,kʰ u r a,,Jongens2009,,,^kʰ u r a$,default,,33945
Bantawa-95_thehorse-1,33946,Bantawa,95_thehorse,kʰiyɨŋma,kʰiyɨŋma,kʰ i y ɨ ŋ m a,,Jongens2009,,,^kʰ i y ɨ ŋ m a$,default,,33946
Bantawa-97_thehouse-1,33948,Bantawa,97_thehouse,kʰim,kʰim,kʰ i m,,Jongens2009,,,^kʰ i m$,default,,33948
Bantawa-324_thehusband-1,33950,Bantawa,324_thehusband,pasɨŋ,pasɨŋ,p a s ɨ ŋ,,Jongens2009,,,^p a s ɨ ŋ$,default,,33950
Bantawa-327_theknee-1,33956,Bantawa,327_theknee,tumpɨcʰɨk,tumpɨcʰɨk,t u m p ɨ cʰ ɨ k,,Jongens2009,,,^t u m p ɨ cʰ ɨ k$,default,,33956
Bantawa-329_thelake-1,33960,Bantawa,329_thelake,watamkʰan,watamkʰan,w a t a m kʰ a n,,Jongens2009,,,^w a t a m kʰ a n$,default,,33960
Bantawa-112_theleaf-1,33963,Bantawa,112_theleaf,kusi,kusi,k u s i,,Jongens2009,,,^k u s i$,default,,33963
Bantawa-332_thelipthelips-1,33970,Bantawa,332_thelipthelips,dosiwa,dosiwa,d o s i w a,,Jongens2009,,,^d o s i w a$,default,,33970
Bantawa-333_theliver-1,33971,Bantawa,333_theliver,luŋmak,luŋmak,l u ŋ m a k,,Jongens2009,,,^l u ŋ m a k$,default,,33971
Bantawa-121_thelouse-1,33973,Bantawa,121_thelouse,sit,sit,s i t,,Jongens2009,,,^s i t$,default,,33973
Bantawa-334_thelung-1,33974,Bantawa,334_thelung,som,som,s o m,,Jongens2009,,,^s o m$,default,,33974
Bantawa-123_themanmalehuman-1,33975,Bantawa,123_themanmalehuman,mɨna,mɨna,m ɨ n a,,Jongens2009,,,^m ɨ n a$,default,,33975
Bantawa-126_themeat-1,33978,Bantawa,126_themeat,sa,sa,s a,,Jongens2009,,,^s a$,default,,33978
Bantawa-128_themoon-1,33980,Bantawa,128_themoon,ladip,ladip,l a d i p,,Jongens2009,,,^l a d i p$,default,,33980
